config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
3,2,10,10,0.0,0.3,0.5,4,,98.71300757054371,99.01927047487956,11474.4,11510.0,44.22049331665039,0.7455494403839111
3,2,10,10,0.0,0.3,1.0,4,,98.68203716448727,99.12250516173434,11470.8,11522.0,47.82741813659668,0.785353422164917
3,2,10,10,0.0,0.4,0.5,4,,98.8016173434274,99.11390227116311,11484.7,11521.0,56.71298179626465,0.8742868900299072
3,2,10,10,0.0,0.4,1.0,4,,98.77580867171369,99.32037164487268,11481.7,11545.0,67.4598560333252,0.9895365238189697
3,2,10,10,0.0,0.5,0.5,4,,98.69236063317274,98.90743289745355,11472.0,11497.0,53.429833221435544,0.823894739151001
3,2,10,10,0.0,0.5,1.0,4,,98.74311768754302,99.19993117687542,11477.9,11531.0,55.352284622192386,0.8611416816711426
3,2,10,10,0.25,0.0,0.5,4,,98.70784583620096,99.16551961459051,11473.8,11527.0,59.47969627380371,0.8970849514007568
3,2,10,10,0.25,0.0,1.0,4,,98.82914659325533,99.11390227116311,11487.9,11521.0,57.24308395385742,0.8617446422576904
3,2,10,10,0.25,0.1,0.5,4,,98.76376462491397,98.9762560220234,11480.3,11505.0,46.51016006469727,0.7652077674865723
3,2,10,10,0.25,0.1,1.0,4,,98.59686854783207,99.10529938059187,11460.9,11520.0,53.92445449829101,0.8331320285797119
3,2,10,10,0.25,0.2,0.5,4,,98.82226428079835,99.16551961459051,11487.1,11527.0,48.99757385253906,0.7842936515808105
3,2,10,10,0.25,0.2,1.0,4,,98.81710254645562,99.09669649002065,11486.5,11519.0,59.035308837890625,0.8744826316833496
3,2,10,10,0.25,0.3,0.5,4,,98.66139022711631,98.8988300068823,11468.4,11496.0,53.73336677551269,0.8177745342254639
3,2,10,10,0.25,0.3,1.0,4,,98.86011699931177,99.1913282863042,11491.5,11530.0,61.076358795166016,0.9202961921691895
3,2,10,10,0.25,0.4,0.5,4,,98.64418444597385,98.89022711631108,11466.4,11495.0,49.71608924865723,0.7904767990112305
3,2,10,10,0.25,0.4,1.0,4,,98.66225051617343,98.84721266345493,11468.5,11490.0,57.62607688903809,0.8718395233154297
