config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,100,10,0.0,0.1,2.0,,,G47.txt,98.9740123178609,99.32401982875169,6588.7,6612.0,84.0650520324707,1.3305680751800537
2,2,100,10,0.0,0.2,1.0,,,G47.txt,98.86134895598617,99.17380201291873,6581.2,6602.0,74.23894729614258,0.635810375213623
2,2,100,10,0.0,0.2,1.5,,,G47.txt,98.74868559411146,99.20384557608533,6573.7,6604.0,72.2205093383789,1.301440954208374
2,2,100,10,0.0,0.2,2.0,,,G47.txt,99.02057984076912,99.2939762655851,6591.8,6610.0,76.7995735168457,1.2928569316864014
2,2,100,10,0.25,0.0,1.0,,,G47.txt,98.65855490461169,99.09869310500225,6567.7,6597.0,91.13193893432617,1.5066301822662354
2,2,100,10,0.25,0.0,1.5,,,G47.txt,98.92894697311101,99.47423764458465,6585.7,6622.0,77.29056243896484,1.321878433227539
2,2,100,10,0.25,0.0,2.0,,,G47.txt,98.801261829653,98.97851885233588,6577.2,6589.0,81.93905639648438,1.4508469104766846
2,2,100,10,0.25,0.1,1.0,,,G47.txt,98.65855490461169,99.11371488658556,6567.7,6598.0,75.30961837768555,1.3481204509735107
2,2,100,10,0.25,0.1,1.5,,,G47.txt,98.8928946973111,99.24891092083521,6583.3,6607.0,76.95015945434571,1.3480427265167236
2,2,100,10,0.25,0.1,2.0,,,G47.txt,98.76220519753643,99.20384557608533,6574.6,6604.0,78.20697631835938,1.3482751846313477
2,2,100,10,0.25,0.2,1.0,,,G47.txt,98.78173351359472,99.05362776025237,6575.9,6594.0,81.17779998779297,1.3313517570495605
2,2,100,10,0.25,0.2,1.5,,,G47.txt,98.97551449601923,99.41415051825146,6588.8,6618.0,75.51535339355469,1.2942123413085938
2,2,100,10,0.25,0.2,2.0,,,G47.txt,98.79825747333634,99.24891092083521,6577.0,6607.0,77.93695983886718,1.2836339473724365
2,2,100,10,0.5,0.0,1.0,,,G47.txt,97.04671774072405,97.80681988883882,6460.4,6511.0,77.68340072631835,1.2842769622802734
2,2,100,10,0.5,0.0,1.5,,,G47.txt,97.26453357368185,98.30253868108758,6474.9,6544.0,74.88311920166015,1.3214919567108154
2,2,100,10,0.5,0.0,2.0,,,G47.txt,97.20294426919033,97.95703770467178,6470.8,6521.0,78.05272598266602,1.3340299129486084
2,2,100,10,0.5,0.1,1.0,,,G47.txt,97.14135496469882,97.70166741775574,6466.7,6504.0,71.66224632263183,1.2021822929382324
2,2,100,10,0.5,0.1,1.5,,,G47.txt,97.41475138951479,98.18236442842121,6484.9,6536.0,80.34210205078125,1.3436429500579834
2,2,100,10,0.5,0.1,2.0,,,G47.txt,97.39071653898152,97.64158029142256,6483.3,6500.0,80.01247024536133,1.269775390625
2,2,100,10,0.5,0.2,1.0,,,G47.txt,97.10380051074057,97.866907015172,6464.2,6515.0,79.09656982421875,1.2820188999176025
2,2,100,10,0.5,0.2,1.5,,,G47.txt,97.43878624004807,98.07721195733814,6486.5,6529.0,94.06290969848632,1.537644624710083
2,2,100,10,0.5,0.2,2.0,,,G47.txt,97.26904010815683,98.07721195733814,6475.2,6529.0,80.63273735046387,1.3653881549835205
2,2,100,10,0.0,0.0,1.0,,,G48.txt,95.90333333333334,97.16666666666667,5754.2,5830.0,132.85629272460938,2.3079071044921875
2,2,100,10,0.0,0.0,1.5,,,G48.txt,95.76333333333334,97.43333333333334,5745.8,5846.0,132.32359619140624,2.3209640979766846
2,2,100,10,0.0,0.0,2.0,,,G48.txt,95.86,96.73333333333333,5751.6,5804.0,135.538037109375,2.3885579109191895
2,2,100,10,0.0,0.1,1.0,,,G48.txt,96.01666666666667,97.3,5761.0,5838.0,122.75767135620117,2.188213586807251
2,2,100,10,0.0,0.1,1.5,,,G48.txt,95.94333333333333,96.8,5756.6,5808.0,127.93644790649414,2.252798318862915
2,2,100,10,0.0,0.1,2.0,,,G48.txt,95.96333333333334,96.46666666666667,5757.8,5788.0,138.1434112548828,2.311654567718506
2,2,100,10,0.0,0.2,1.0,,,G48.txt,95.62,97.3,5737.2,5838.0,119.83620681762696,2.1989452838897705
2,2,100,10,0.0,0.2,1.5,,,G48.txt,95.69,96.76666666666667,5741.4,5806.0,131.21372146606444,2.2316277027130127
2,2,100,10,0.0,0.2,2.0,,,G48.txt,95.85333333333334,96.53333333333333,5751.2,5792.0,136.92825622558593,2.3041985034942627
2,2,100,10,0.25,0.0,1.0,,,G48.txt,95.64333333333333,97.3,5738.6,5838.0,144.51956329345703,1.752619981765747
2,2,100,10,0.25,0.0,1.5,,,G48.txt,95.69333333333333,96.63333333333334,5741.6,5798.0,140.4729461669922,2.5259525775909424
2,2,100,10,0.25,0.0,2.0,,,G48.txt,95.97,97.06666666666666,5758.2,5824.0,140.89245147705077,2.4475739002227783
2,2,100,10,0.25,0.1,1.0,,,G48.txt,95.40333333333334,97.0,5724.2,5820.0,126.13877792358399,2.3841633796691895
2,2,100,10,0.25,0.1,1.5,,,G48.txt,95.54,96.56666666666666,5732.4,5794.0,134.7445442199707,2.3027915954589844
2,2,100,10,0.25,0.1,2.0,,,G48.txt,95.99,97.26666666666667,5759.4,5836.0,132.13019332885742,2.4138050079345703
2,2,100,10,0.25,0.2,1.0,,,G48.txt,95.30666666666667,97.56666666666666,5718.4,5854.0,118.77141494750977,2.1927688121795654
2,2,100,10,0.25,0.2,1.5,,,G48.txt,95.18333333333334,95.9,5711.0,5754.0,130.80411529541016,2.335456132888794
2,2,100,10,0.25,0.2,2.0,,,G48.txt,95.42333333333333,96.43333333333334,5725.4,5786.0,133.7487030029297,2.3465731143951416
2,2,100,10,0.5,0.0,1.0,,,G48.txt,92.14666666666666,93.8,5528.8,5628.0,131.68475875854492,2.336937189102173
2,2,100,10,0.5,0.0,1.5,,,G48.txt,92.81,94.36666666666666,5568.6,5662.0,133.78397445678712,2.387619972229004
2,2,100,10,0.5,0.0,2.0,,,G48.txt,92.88666666666667,94.76666666666667,5573.2,5686.0,130.62686462402343,1.841078281402588
2,2,100,10,0.5,0.1,1.0,,,G48.txt,91.81666666666666,92.63333333333334,5509.0,5558.0,119.3776756286621,2.151594877243042
2,2,100,10,0.5,0.1,1.5,,,G48.txt,92.13333333333334,93.73333333333333,5528.0,5624.0,130.01505966186522,2.413707733154297
2,2,100,10,0.5,0.1,2.0,,,G48.txt,92.27666666666667,92.96666666666667,5536.6,5578.0,133.1042594909668,2.472893238067627
2,2,100,10,0.5,0.2,1.0,,,G48.txt,91.56333333333333,92.6,5493.8,5556.0,128.527099609375,2.4484474658966064
2,2,100,10,0.5,0.2,1.5,,,G48.txt,91.74666666666667,92.43333333333334,5504.8,5546.0,127.06956176757812,2.2182328701019287
2,2,100,10,0.5,0.2,2.0,,,G48.txt,92.2,92.83333333333333,5532.0,5570.0,132.32506637573243,2.4049928188323975
2,2,100,10,0.0,0.0,1.0,,,G55.txt,97.95902514807261,98.08719293135256,10088.8,10102.0,186.5414779663086,3.979882001876831
2,2,100,10,0.0,0.0,1.5,,,G55.txt,97.72890571900184,97.99009612583745,10065.1,10092.0,212.18024597167968,4.590692520141602
2,2,100,10,0.0,0.0,2.0,,,G55.txt,97.83765414117875,98.0289348480435,10076.3,10096.0,222.3,3.81788969039917
2,2,100,10,0.0,0.1,1.0,,,G55.txt,97.71239926206428,98.24254782017671,10063.4,10118.0,208.89766693115234,4.249692440032959
2,2,100,10,0.0,0.1,1.5,,,G55.txt,97.69589280512672,98.11632197300709,10061.7,10105.0,210.233984375,4.519399404525757
2,2,100,10,0.0,0.1,2.0,,,G55.txt,97.91338964948054,98.27167686183125,10084.1,10121.0,235.65301818847655,4.547984600067139
2,2,100,10,0.0,0.2,1.0,,,G55.txt,97.5871443829498,97.9318380425284,10050.5,10086.0,217.52507629394532,4.5365355014801025
2,2,100,10,0.0,0.2,1.5,,,G55.txt,97.58423147878436,97.81532187591029,10050.2,10074.0,205.6011001586914,4.189148187637329
2,2,100,10,0.0,0.2,2.0,,,G55.txt,97.67744441207883,98.08719293135256,10059.8,10102.0,234.72020111083984,4.062494993209839
