config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
3,2,8,2,0.1,0.3,0.1,4.0,,99.51565726083965,99.8365450791466,11567.7,11605.0,61.48685760498047,0.9166290760040284
3,2,2,1,0.3,0.2,0.2,4.0,,99.51479697178252,99.8623537508603,11567.6,11608.0,67.14331741333008,1.008976697921753
3,2,2,1,0.1,0.3,0.1,4.0,,99.51479697178252,99.69889883000688,11567.6,11589.0,65.25346488952637,0.9618096351623536
4,2,2,2,0.1,0.1,0.3,,0.5,99.51307639366829,99.7591190640055,11567.4,11596.0,59.35082206726074,0.9323461055755616
4,2,4,2,0.2,0.1,0.3,,0.3,99.51307639366829,99.98279421885752,11567.4,11622.0,58.43331832885743,0.9137575626373292
3,2,4,1,0.3,0.1,0.1,4.0,,99.51221610461116,99.70750172057812,11567.3,11590.0,70.1345344543457,1.0026648044586182
4,2,8,2,0.3,0.1,0.2,,0.3,99.51221610461116,99.89676531314522,11567.3,11612.0,59.20270690917969,0.9170465469360352
4,2,1,2,0.1,0.2,0.3,,0.3,99.51135581555404,99.89676531314522,11567.2,11612.0,63.96585006713868,0.9720029830932616
3,2,2,2,0.2,0.3,0.2,4.0,,99.5104955264969,99.88816242257398,11567.1,11611.0,72.77772674560546,1.0284416675567627
4,2,2,2,0.3,0.1,0.1,,0.3,99.50963523743978,99.87095664143152,11567.0,11609.0,61.37568664550781,1.0023300647735596
4,2,1,1,0.2,0.3,0.3,,0.7,99.50963523743978,99.93977976600138,11567.0,11617.0,70.01317138671875,1.0425300598144531
4,2,1,2,0.1,0.1,0.1,,0.3,99.50963523743978,99.74191328286304,11567.0,11594.0,69.186275100708,1.0226545333862305
3,2,8,1,0.3,0.1,0.2,4.0,,99.50877494838264,99.98279421885752,11566.9,11622.0,66.83163490295411,0.9715631008148192
4,2,1,1,0.1,0.1,0.3,,0.7,99.50877494838264,99.91397109428767,11566.9,11614.0,71.1342872619629,1.0352747440338137
4,2,1,2,0.2,0.3,0.1,,0.5,99.50791465932554,99.7591190640055,11566.8,11596.0,61.98762550354004,0.9422378540039062
4,2,2,2,0.3,0.2,0.1,,0.3,99.50791465932554,99.66448726772197,11566.8,11585.0,60.64819526672363,0.9504790306091307
3,2,1,2,0.1,0.1,0.1,4.0,,99.5070543702684,99.7849277357192,11566.7,11599.0,73.27951049804688,1.0332343578338623
4,2,2,2,0.2,0.1,0.1,,0.5,99.50533379215416,99.97419132828632,11566.5,11621.0,58.54744606018066,0.9098169803619384
4,2,2,1,0.1,0.1,0.1,,0.7,99.50447350309705,99.69029593943566,11566.4,11588.0,63.47164115905762,0.9595215320587158
4,2,2,2,0.1,0.1,0.1,,0.3,99.50447350309705,99.96558843771508,11566.4,11620.0,66.89482917785645,1.0021934509277344
3,2,2,2,0.2,0.2,0.2,4.0,,99.50447350309705,99.7591190640055,11566.4,11596.0,60.33363227844238,0.9066786766052246
4,2,1,2,0.2,0.3,0.3,,0.5,99.5027529249828,99.75051617343428,11566.2,11595.0,66.81279983520508,0.9937236309051514
4,2,4,2,0.1,0.3,0.2,,0.3,99.5027529249828,99.87955953200276,11566.2,11610.0,58.270982360839845,0.9085299968719482
4,2,4,2,0.1,0.2,0.2,,0.3,99.5027529249828,99.7849277357192,11566.2,11599.0,56.68093414306641,0.8879556655883789
3,2,2,2,0.2,0.1,0.3,4.0,,99.5027529249828,99.96558843771508,11566.2,11620.0,62.42586212158203,0.98883318901062
4,2,4,2,0.2,0.1,0.3,,0.5,99.50189263592569,99.91397109428767,11566.1,11614.0,63.76209945678711,0.960914134979248
3,2,8,1,0.2,0.3,0.3,4.0,,99.50189263592569,99.72470750172056,11566.1,11592.0,61.85702705383301,0.9168026447296144
3,2,4,1,0.1,0.3,0.1,4.0,,99.50103234686854,99.9483826565726,11566.0,11618.0,64.42270698547364,0.9523158073425292
4,2,8,2,0.3,0.3,0.3,,0.3,99.50103234686854,99.84514796971784,11566.0,11606.0,63.18538818359375,0.954744815826416
3,2,2,2,0.1,0.2,0.2,4.0,,99.50017205781144,99.69029593943566,11565.9,11588.0,61.804220581054686,0.9308104515075684
3,2,2,2,0.1,0.3,0.1,4.0,,99.50017205781144,99.69029593943566,11565.9,11588.0,62.36341438293457,0.9237461090087892
4,2,1,2,0.2,0.1,0.3,,0.5,99.50017205781144,99.93117687543014,11565.9,11616.0,59.618797302246094,0.9194090366363524
4,2,1,2,0.3,0.3,0.1,,0.5,99.49759119064004,99.77632484514795,11565.6,11598.0,63.68168640136719,0.9771833419799804
4,2,4,2,0.1,0.3,0.1,,0.5,99.49759119064004,99.8107364074329,11565.6,11602.0,62.80022392272949,0.9551517963409424
4,2,2,2,0.2,0.3,0.1,,0.5,99.49673090158294,99.7333103922918,11565.5,11593.0,57.41686401367188,0.893700122833252
4,2,8,2,0.1,0.2,0.1,,0.5,99.49673090158294,99.69889883000688,11565.5,11589.0,63.06567039489746,0.9530031681060792
3,2,1,2,0.1,0.3,0.2,4.0,,99.49673090158294,99.97419132828632,11565.5,11621.0,65.11819915771484,0.9824132919311525
4,2,1,2,0.1,0.3,0.3,,0.5,99.4958706125258,99.71610461114936,11565.4,11591.0,64.7507553100586,0.9738607406616212
4,2,2,2,0.2,0.2,0.3,,0.3,99.49415003441156,99.6730901582932,11565.2,11586.0,62.09523544311524,0.9387245178222656
4,2,8,2,0.3,0.3,0.2,,0.3,99.49415003441156,99.75051617343428,11565.2,11595.0,65.08131561279296,0.9727799892425536
4,2,2,2,0.1,0.2,0.3,,0.5,99.49415003441156,99.81933929800412,11565.2,11603.0,66.12125434875489,1.0239789485931396
3,2,1,2,0.1,0.2,0.1,4.0,,99.49415003441156,99.96558843771508,11565.2,11620.0,70.71517486572266,1.0086307525634766
3,2,4,1,0.2,0.2,0.2,4.0,,99.49328974535445,99.93117687543014,11565.1,11616.0,63.81955223083496,0.9432392120361328
4,2,4,4,0.2,0.1,0.1,,0.3,99.49242945629732,99.93117687543014,11565.0,11616.0,65.51038703918456,0.963022232055664
4,2,2,2,0.1,0.1,0.3,,0.3,99.4915691672402,99.97419132828632,11564.9,11621.0,69.17424926757812,1.022688865661621
3,2,8,1,0.3,0.1,0.3,4.0,,99.49070887818309,99.9483826565726,11564.8,11618.0,62.15065460205078,0.9235496520996094
4,2,8,2,0.1,0.3,0.1,,0.5,99.49070887818309,99.69889883000688,11564.8,11589.0,75.51211547851562,1.1042118072509766
3,2,4,2,0.1,0.3,0.3,4.0,,99.48984858912594,99.69889883000688,11564.7,11589.0,59.35697898864746,0.8954706192016602
3,2,8,1,0.1,0.1,0.1,8.0,,99.48898830006884,99.72470750172056,11564.6,11592.0,60.78071060180664,0.9083170890808104
3,2,2,1,0.3,0.3,0.1,4.0,,99.48898830006884,99.82794218857536,11564.6,11604.0,68.21894454956055,0.99143648147583
4,2,1,2,0.3,0.1,0.3,,0.3,99.48898830006884,99.98279421885752,11564.6,11622.0,61.21757507324219,0.954092502593994
3,2,4,2,0.1,0.2,0.3,4.0,,99.4881280110117,100.0,11564.5,11624.0,66.58470726013184,0.9686903953552246
3,2,2,1,0.1,0.3,0.1,8.0,,99.4881280110117,99.80213351686166,11564.5,11601.0,62.93564758300781,0.9294629096984864
4,2,2,2,0.1,0.2,0.3,,0.3,99.4881280110117,99.79353062629043,11564.5,11600.0,75.20659599304199,1.1093497276306152
3,2,1,1,0.1,0.2,0.2,4.0,,99.48726772195458,99.75051617343428,11564.4,11595.0,63.87104644775391,0.9395701885223388
4,2,1,2,0.1,0.1,0.3,,0.5,99.48726772195458,99.7849277357192,11564.4,11599.0,61.53727340698242,0.9299724102020264
4,2,8,2,0.2,0.1,0.2,,0.3,99.48726772195458,99.87095664143152,11564.4,11609.0,67.16851272583008,0.9953827857971193
4,2,4,2,0.2,0.3,0.3,,0.5,99.48726772195458,99.75051617343428,11564.4,11595.0,68.0483383178711,1.0305683612823486
4,2,8,1,0.1,0.1,0.2,,0.7,99.48640743289744,99.6730901582932,11564.3,11586.0,63.02351303100586,0.9472002983093262
3,2,2,1,0.1,0.2,0.3,8.0,,99.48554714384034,99.99139710942876,11564.2,11623.0,63.82923889160156,0.9358222484588624
4,2,2,2,0.1,0.1,0.1,,0.5,99.48554714384034,99.81933929800412,11564.2,11603.0,61.33400993347168,0.9476640224456788
4,2,4,2,0.1,0.2,0.1,,0.3,99.4846868547832,99.70750172057812,11564.1,11590.0,73.40390319824219,1.0601089000701904
3,2,8,1,0.1,0.1,0.2,4.0,,99.4846868547832,99.60426703372332,11564.1,11578.0,68.07212448120117,0.9836466312408448
3,2,2,2,0.2,0.2,0.3,4.0,,99.4846868547832,99.87955953200276,11564.1,11610.0,66.1194019317627,0.9663698673248292
3,2,8,2,0.1,0.1,0.1,4.0,,99.4846868547832,99.7333103922918,11564.1,11593.0,65.68547210693359,0.9988150596618652
3,2,8,2,0.2,0.3,0.1,4.0,,99.4846868547832,99.69029593943566,11564.1,11588.0,61.256415939331056,0.9294769763946532
3,2,2,2,0.2,0.2,0.1,4.0,,99.48382656572608,99.63867859600826,11564.0,11582.0,61.434048080444335,0.9151401519775392
3,2,2,2,0.2,0.1,0.2,4.0,,99.48382656572608,99.70750172057812,11564.0,11590.0,59.67400894165039,0.9031171798706056
4,2,2,2,0.2,0.3,0.3,,0.5,99.48296627666896,99.8365450791466,11563.9,11605.0,57.989794921875,0.9821765422821044
4,2,2,2,0.2,0.1,0.3,,0.3,99.48296627666896,99.68169304886442,11563.9,11587.0,66.65303764343261,1.0314488410949707
3,2,2,2,0.1,0.1,0.2,4.0,,99.48296627666896,99.72470750172056,11563.9,11592.0,62.66335067749024,0.9625608921051024
3,2,4,1,0.1,0.1,0.1,8.0,,99.48296627666896,99.74191328286304,11563.9,11594.0,57.96119346618652,0.8758630752563477
3,2,1,1,0.3,0.3,0.3,4.0,,99.48210598761185,99.76772195457674,11563.8,11597.0,64.99091148376465,0.9527585506439208
3,2,8,1,0.2,0.2,0.1,4.0,,99.48124569855472,99.6730901582932,11563.7,11586.0,64.69365119934082,0.955230951309204
4,2,4,2,0.2,0.3,0.1,,0.5,99.48124569855472,99.64728148657947,11563.7,11583.0,56.2237247467041,0.8747880458831787
4,2,8,2,0.2,0.2,0.1,,0.3,99.4803854094976,99.91397109428767,11563.6,11614.0,57.58400344848633,0.8942136764526367
4,2,2,2,0.2,0.1,0.3,,0.5,99.4803854094976,99.69029593943566,11563.6,11588.0,58.60689239501953,0.9073660373687744
4,2,1,2,0.2,0.1,0.1,,0.5,99.4803854094976,99.69029593943566,11563.6,11588.0,64.16884841918946,0.9599969387054444
