timestep,masked_mean_energy,masked_ci95,nomask_mean_energy,nomask_ci95
78,-2544.4,104.21893386520514,19176.0,0.0
79,-2533.133333333333,104.51717053207406,19176.0,0.0
80,-2502.733333333333,99.7314002996639,19176.0,0.0
81,-2544.733333333333,91.95452561154585,19176.0,0.0
82,-2549.4,110.74764953744604,19176.0,0.0
83,-2539.4,102.66817994287037,19176.0,0.0
84,-2500.4,111.10229346112453,19176.0,0.0
85,-2479.0,112.26662482321004,19176.0,0.0
86,-2473.0666666666666,115.83259141441054,19176.0,0.0
87,-2527.866666666667,109.20437604356856,19176.0,0.0
88,-2489.266666666667,106.34037084512602,19176.0,0.0
89,-2503.5333333333333,102.72485559357244,19176.0,0.0
90,-2455.6666666666665,102.25945974096192,19176.0,0.0
91,-2469.733333333333,89.22357049406178,19176.0,0.0
92,-2477.2,108.86203252562022,19176.0,0.0
93,-2483.6,114.69738197976227,19176.0,0.0
94,-2496.0,100.65750336615768,19176.0,0.0
95,-2499.0666666666666,90.90327083746871,19176.0,0.0
96,-2523.4,94.7683908814161,19176.0,0.0
97,-2531.2,103.75458801366356,19176.0,0.0
98,-2537.0666666666666,101.56372365196955,19176.0,0.0
99,-2555.133333333333,104.82310463455111,19176.0,0.0
100,-2542.9333333333334,106.41745218435723,19176.0,0.0
101,-2563.6,111.51137883858652,19176.0,0.0
102,-2531.6666666666665,127.32432718706917,19176.0,0.0
103,-2563.3333333333335,121.91619901356715,19176.0,0.0
104,-2551.4666666666667,129.09346762298702,19176.0,0.0
105,-2540.0,130.03016652998676,19176.0,0.0
106,-2574.0666666666666,113.00781909163072,19176.0,0.0
107,-2597.733333333333,102.66724808194824,19176.0,0.0
108,-2616.5333333333333,97.7655890144431,19176.0,0.0
109,-2637.266666666667,96.8886155405473,19176.0,0.0
110,-2640.866666666667,99.00212401730934,19176.0,0.0
111,-2648.8,92.09561780531433,19176.0,0.0
112,-2668.4,86.5977515908912,19176.0,0.0
113,-2665.8,87.54465250728163,19176.0,0.0
114,-2667.4,75.56466263094632,19176.0,0.0
115,-2639.0666666666666,78.1939818816858,19176.0,0.0
116,-2633.133333333333,93.67788194614408,19176.0,0.0
117,-2613.6,96.14911502644118,19176.0,0.0
118,-2624.6666666666665,87.7984918223743,19176.0,0.0
119,-2651.0,93.30931750791613,19176.0,0.0
120,-2667.6666666666665,99.7077722299778,19176.0,0.0
121,-2690.8,94.73137875114006,19176.0,0.0
122,-2684.3333333333335,98.2651349839299,19176.0,0.0
123,-2699.5333333333333,100.05994816870985,19176.0,0.0
124,-2715.0666666666666,103.48836410013739,19176.0,0.0
125,-2702.9333333333334,101.85234512553394,19176.0,0.0
126,-2691.9333333333334,105.70081161394526,19176.0,0.0
127,-2705.133333333333,101.60353160181828,19176.0,0.0
128,-2715.4666666666667,93.72844558927868,19176.0,0.0
129,-2751.4,92.34872304825701,19176.0,0.0
130,-2736.8,100.38684308901894,19176.0,0.0
131,-2703.133333333333,113.57875946372197,19176.0,0.0
132,-2715.4,111.11369935878928,19176.0,0.0
133,-2726.3333333333335,116.94168254967043,19176.0,0.0
134,-2736.133333333333,107.38831981236414,19176.0,0.0
135,-2746.4,102.52016608755903,19176.0,0.0
136,-2760.4666666666667,107.25958328240748,19176.0,0.0
137,-2750.6666666666665,106.00380456123231,19176.0,0.0
138,-2734.266666666667,106.87968172114034,19176.0,0.0
139,-2734.9333333333334,97.5890673909611,19176.0,0.0
140,-2750.133333333333,98.99574581331309,19176.0,0.0
141,-2775.2,97.40752361416277,19176.0,0.0
142,-2792.6666666666665,95.4975177017867,19176.0,0.0
143,-2812.5333333333333,101.47746448625618,19176.0,0.0
144,-2805.5333333333333,102.86798204297519,19176.0,0.0
145,-2798.9333333333334,99.78137453053583,19176.0,0.0
146,-2804.266666666667,108.94120186441324,19176.0,0.0
147,-2838.8,106.85222363275537,19176.0,0.0
148,-2826.866666666667,109.68912155927059,19176.0,0.0
149,-2833.733333333333,103.21509936644956,19176.0,0.0
150,-2822.0666666666666,104.73845053925511,19176.0,0.0
151,-2832.266666666667,98.86537984637789,19176.0,0.0
152,-2823.6666666666665,97.24882161308744,19176.0,0.0
153,-2842.2,89.52349092656162,19176.0,0.0
154,-2854.4666666666667,83.30657194719915,19176.0,0.0
155,-2876.8,92.91492151722308,19176.0,0.0
156,-2867.0,80.93664482990285,19176.0,0.0
157,-2863.866666666667,88.52146162753036,19176.0,0.0
158,-2901.866666666667,86.73644251241119,19176.0,0.0
159,-2888.8,86.26203438468112,19176.0,0.0
160,-2901.4,83.84115030798132,19176.0,0.0
161,-2890.9333333333334,79.04029538158156,19176.0,0.0
162,-2900.9333333333334,83.53736294910453,19176.0,0.0
163,-2857.266666666667,75.28584109976867,19176.0,0.0
164,-2849.866666666667,83.03713785365679,19176.0,0.0
165,-2826.733333333333,83.14970022261721,19176.0,0.0
166,-2849.9333333333334,79.33644269227814,19176.0,0.0
167,-2850.2,91.71928654950072,19176.0,0.0
168,-2869.733333333333,94.76216262086031,19176.0,0.0
169,-2876.4666666666667,92.22882780150599,19176.0,0.0
170,-2881.4,90.46746315169585,19176.0,0.0
171,-2903.0666666666666,91.96033581622541,19176.0,0.0
172,-2919.4666666666667,89.53721831131007,19176.0,0.0
173,-2859.866666666667,80.44571367496424,19176.0,0.0
174,-2910.733333333333,78.65763958181287,19176.0,0.0
175,-2886.5333333333333,93.6154998018869,19176.0,0.0
176,-2843.733333333333,125.24268082217382,19176.0,0.0
177,-2859.6,117.25832848650144,19176.0,0.0
178,-2874.6,114.62355734847172,19176.0,0.0
179,-2866.866666666667,108.80069943543491,19176.0,0.0
180,-2866.9333333333334,99.4665039153086,19176.0,0.0
181,-2896.0,97.29220446734128,19176.0,0.0
182,-2909.5333333333333,88.20459240491964,19176.0,0.0
183,-2877.4666666666667,101.04716167106218,19176.0,0.0
184,-2805.0666666666666,122.44924335754487,19176.0,0.0
185,-2858.4,102.21079505891106,19176.0,0.0
186,-2882.5333333333333,101.91565590506391,19176.0,0.0
187,-2898.9333333333334,88.80250987305926,19176.0,0.0
188,-2866.0666666666666,102.92013156838478,19176.0,0.0
189,-2862.4,110.99015923407173,19176.0,0.0
190,-2878.4666666666667,105.1605692762901,19176.0,0.0
191,-2883.2,95.1003875336871,19176.0,0.0
192,-2893.2,94.98461032321433,19176.0,0.0
193,-2915.2,100.32823641050099,19176.0,0.0
194,-2937.4,89.77228921138679,19176.0,0.0
195,-2982.6,87.33696215537117,19176.0,0.0
196,-2984.133333333333,78.71969179767096,19176.0,0.0
197,-2965.6666666666665,88.66105124384008,19176.0,0.0
198,-2957.8,79.7447754385648,19176.0,0.0
199,-2950.866666666667,87.25573405487997,19176.0,0.0
200,-2967.733333333333,82.69841402103107,19176.0,0.0
201,-2993.3333333333335,79.09940141502058,19176.0,0.0
202,-2975.9333333333334,67.32387799139892,19176.0,0.0
